Link to details,Interactor 1,Interactor 1 title,Interactor 1 source organism,Interactor 1 sequence length,SCOP family 1,Interactor 2,Interactor 2 title,Interactor 2 source organism,Interactor 2 sequence length,SCOP family 2,Interface type,"Buried surface area, Å2",No. of contacts,No. of members in cluster,pdb_id
7 Details,5jlf_D,"Actin, alpha skeletal muscle",Oryctolagus cuniculus,375,,5jlf_E,"Actin, alpha skeletal muscle",Oryctolagus cuniculus,375,,homo,1134.09,106,1,5jlf
1 Details,7jh7_A,"Actin, alpha cardiac muscle 1",Sus scrofa,377,,7jh7_F,Myosin-7,Sus scrofa,1935,,hetero,1160.4,105,1,7jh7
2 Details,7jh7_A,"Actin, alpha cardiac muscle 1",Sus scrofa,377,,7jh7_B,"Actin, alpha cardiac muscle 1",Sus scrofa,377,,homo,1162.38,103,1,7jh7
3 Details,7jh7_A,"Actin, alpha cardiac muscle 1",Sus scrofa,377,,7jh7_C,"Actin, alpha cardiac muscle 1",Sus scrofa,377,,homo,1151.58,102,1,7jh7
4 Details,7jh7_A,"Actin, alpha cardiac muscle 1",Sus scrofa,377,,7jh7_H,Myosin-7,Sus scrofa,1935,,hetero,168.28,15,1,7jh7
5 Details,7jh7_A,"Actin, alpha cardiac muscle 1",Sus scrofa,377,,7jh7_E,"Actin, alpha cardiac muscle 1",Sus scrofa,377,,homo,513.19,45,1,7jh7
6 Details,7jh7_A,"Actin, alpha cardiac muscle 1",Sus scrofa,377,,7jh7_D,"Actin, alpha cardiac muscle 1",Sus scrofa,377,,homo,531.21,49,1,7jh7
7 Details,7jh7_F,Myosin-7,Sus scrofa,1935,,7jh7_B,"Actin, alpha cardiac muscle 1",Sus scrofa,377,,hetero,184.61,18,1,7jh7
8 Details,7jh7_B,"Actin, alpha cardiac muscle 1",Sus scrofa,377,,7jh7_G,Myosin-7,Sus scrofa,1935,,hetero,1159.21,106,1,7jh7
9 Details,7jh7_B,"Actin, alpha cardiac muscle 1",Sus scrofa,377,,7jh7_D,"Actin, alpha cardiac muscle 1",Sus scrofa,377,,homo,517.2,47,1,7jh7
10 Details,7jh7_C,"Actin, alpha cardiac muscle 1",Sus scrofa,377,,7jh7_H,Myosin-7,Sus scrofa,1935,,hetero,1142.49,104,1,7jh7
11 Details,7jh7_C,"Actin, alpha cardiac muscle 1",Sus scrofa,377,,7jh7_E,"Actin, alpha cardiac muscle 1",Sus scrofa,377,,homo,533.48,48,1,7jh7
12 Details,7jh7_E,"Actin, alpha cardiac muscle 1",Sus scrofa,377,,7jh7_D,"Actin, alpha cardiac muscle 1",Sus scrofa,377,,homo,1142.85,102,1,7jh7
1 Details,9kbx_A,Growth arrest-specific protein 2,Mus musculus,170,,9kbx_K,"Actin, alpha skeletal muscle",Oryctolagus cuniculus,370,,hetero,415.52,32,1,9kbx
2 Details,9kbx_A,Growth arrest-specific protein 2,Mus musculus,170,,9kbx_L,"Actin, alpha skeletal muscle",Oryctolagus cuniculus,370,,hetero,1117.08,98,1,9kbx
3 Details,9kbx_B,Growth arrest-specific protein 2,Mus musculus,170,,9kbx_H,"Actin, alpha skeletal muscle",Oryctolagus cuniculus,370,,hetero,396.06,33,1,9kbx
4 Details,9kbx_B,Growth arrest-specific protein 2,Mus musculus,170,,9kbx_J,"Actin, alpha skeletal muscle",Oryctolagus cuniculus,370,,hetero,1069.96,93,1,9kbx
5 Details,9kbx_H,"Actin, alpha skeletal muscle",Oryctolagus cuniculus,370,,9kbx_J,"Actin, alpha skeletal muscle",Oryctolagus cuniculus,370,,homo,1152.58,91,1,9kbx
6 Details,9kbx_H,"Actin, alpha skeletal muscle",Oryctolagus cuniculus,370,,9kbx_K,"Actin, alpha skeletal muscle",Oryctolagus cuniculus,370,,homo,431.86,38,1,9kbx
7 Details,9kbx_H,"Actin, alpha skeletal muscle",Oryctolagus cuniculus,370,,9kbx_L,"Actin, alpha skeletal muscle",Oryctolagus cuniculus,370,,homo,436.2,37,1,9kbx
8 Details,9kbx_J,"Actin, alpha skeletal muscle",Oryctolagus cuniculus,370,,9kbx_L,"Actin, alpha skeletal muscle",Oryctolagus cuniculus,370,,homo,445.15,38,1,9kbx
9 Details,9kbx_K,"Actin, alpha skeletal muscle",Oryctolagus cuniculus,370,,9kbx_L,"Actin, alpha skeletal muscle",Oryctolagus cuniculus,370,,homo,1164.28,93,1,9kbx
1 Details,9bph_A,"Actin, alpha cardiac muscle 1",Homo sapiens,375,,9bph_B,"Actin, alpha cardiac muscle 1",Homo sapiens,375,,homo,1166.25,90,1,9bph
2 Details,9bph_A,"Actin, alpha cardiac muscle 1",Homo sapiens,375,,9bph_C,"Actin, alpha cardiac muscle 1",Homo sapiens,375,,homo,332.2,29,1,9bph
3 Details,9bph_A,"Actin, alpha cardiac muscle 1",Homo sapiens,375,,9bph_D,"Actin, alpha cardiac muscle 1",Homo sapiens,375,,homo,322.14,29,1,9bph
4 Details,9bph_B,"Actin, alpha cardiac muscle 1",Homo sapiens,375,,9bph_C,"Actin, alpha cardiac muscle 1",Homo sapiens,375,,homo,335.73,30,1,9bph
5 Details,9bph_C,"Actin, alpha cardiac muscle 1",Homo sapiens,375,,9bph_D,"Actin, alpha cardiac muscle 1",Homo sapiens,375,,homo,1152.91,89,1,9bph
1 Details,8c4c_A,"Actin, alpha skeletal muscle",Gallus gallus,377,,8c4c_B,"Actin, alpha skeletal muscle",Gallus gallus,377,,homo,464.05,40,1,8c4c
2 Details,8c4c_A,"Actin, alpha skeletal muscle",Gallus gallus,377,,8c4c_C,"Actin, alpha skeletal muscle",Gallus gallus,377,,homo,1196.53,95,1,8c4c
3 Details,8c4c_A,"Actin, alpha skeletal muscle",Gallus gallus,377,,8c4c_M,Cell invasion protein SipA,Salmonella enterica subsp. enterica serovar Typhimurium str. LT2,173,,hetero,750.06,68,1,8c4c
4 Details,8c4c_A,"Actin, alpha skeletal muscle",Gallus gallus,377,,8c4c_N,Cell invasion protein SipA,Salmonella enterica subsp. enterica serovar Typhimurium str. LT2,173,,hetero,482.25,38,1,8c4c
5 Details,8c4c_B,"Actin, alpha skeletal muscle",Gallus gallus,377,,8c4c_C,"Actin, alpha skeletal muscle",Gallus gallus,377,,homo,411.14,33,1,8c4c
6 Details,8c4c_B,"Actin, alpha skeletal muscle",Gallus gallus,377,,8c4c_D,"Actin, alpha skeletal muscle",Gallus gallus,377,,homo,1183.49,97,1,8c4c
7 Details,8c4c_B,"Actin, alpha skeletal muscle",Gallus gallus,377,,8c4c_M,Cell invasion protein SipA,Salmonella enterica subsp. enterica serovar Typhimurium str. LT2,173,,hetero,740.68,70,1,8c4c
8 Details,8c4c_B,"Actin, alpha skeletal muscle",Gallus gallus,377,,8c4c_N,Cell invasion protein SipA,Salmonella enterica subsp. enterica serovar Typhimurium str. LT2,173,,hetero,781.93,67,1,8c4c
9 Details,8c4c_C,"Actin, alpha skeletal muscle",Gallus gallus,377,,8c4c_D,"Actin, alpha skeletal muscle",Gallus gallus,377,,homo,406.42,37,1,8c4c
10 Details,8c4c_C,"Actin, alpha skeletal muscle",Gallus gallus,377,,8c4c_E,"Actin, alpha skeletal muscle",Gallus gallus,377,,homo,1166.58,97,1,8c4c
11 Details,8c4c_C,"Actin, alpha skeletal muscle",Gallus gallus,377,,8c4c_M,Cell invasion protein SipA,Salmonella enterica subsp. enterica serovar Typhimurium str. LT2,173,,hetero,145.86,15,1,8c4c
12 Details,8c4c_C,"Actin, alpha skeletal muscle",Gallus gallus,377,,8c4c_N,Cell invasion protein SipA,Salmonella enterica subsp. enterica serovar Typhimurium str. LT2,173,,hetero,770.32,68,1,8c4c
13 Details,8c4c_D,"Actin, alpha skeletal muscle",Gallus gallus,377,,8c4c_E,"Actin, alpha skeletal muscle",Gallus gallus,377,,homo,437.08,36,1,8c4c
14 Details,8c4c_D,"Actin, alpha skeletal muscle",Gallus gallus,377,,8c4c_F,"Actin, alpha skeletal muscle",Gallus gallus,377,,homo,1178.03,95,1,8c4c
15 Details,8c4c_D,"Actin, alpha skeletal muscle",Gallus gallus,377,,8c4c_K,Cell invasion protein SipA,Salmonella enterica subsp. enterica serovar Typhimurium str. LT2,173,,hetero,455.75,38,1,8c4c
16 Details,8c4c_D,"Actin, alpha skeletal muscle",Gallus gallus,377,,8c4c_N,Cell invasion protein SipA,Salmonella enterica subsp. enterica serovar Typhimurium str. LT2,173,,hetero,154.6,15,1,8c4c
17 Details,8c4c_E,"Actin, alpha skeletal muscle",Gallus gallus,377,,8c4c_F,"Actin, alpha skeletal muscle",Gallus gallus,377,,homo,406.13,32,1,8c4c
18 Details,8c4c_E,"Actin, alpha skeletal muscle",Gallus gallus,377,,8c4c_G,"Actin, alpha skeletal muscle",Gallus gallus,377,,homo,1190.21,97,1,8c4c
19 Details,8c4c_E,"Actin, alpha skeletal muscle",Gallus gallus,377,,8c4c_K,Cell invasion protein SipA,Salmonella enterica subsp. enterica serovar Typhimurium str. LT2,173,,hetero,751.39,66,1,8c4c
20 Details,8c4c_E,"Actin, alpha skeletal muscle",Gallus gallus,377,,8c4c_L,Cell invasion protein SipA,Salmonella enterica subsp. enterica serovar Typhimurium str. LT2,173,,hetero,479.96,31,1,8c4c
21 Details,8c4c_F,"Actin, alpha skeletal muscle",Gallus gallus,377,,8c4c_G,"Actin, alpha skeletal muscle",Gallus gallus,377,,homo,408.89,36,1,8c4c
22 Details,8c4c_F,"Actin, alpha skeletal muscle",Gallus gallus,377,,8c4c_H,"Actin, alpha skeletal muscle",Gallus gallus,377,,homo,1170.94,94,1,8c4c
23 Details,8c4c_F,"Actin, alpha skeletal muscle",Gallus gallus,377,,8c4c_K,Cell invasion protein SipA,Salmonella enterica subsp. enterica serovar Typhimurium str. LT2,173,,hetero,799.8,70,1,8c4c
24 Details,8c4c_F,"Actin, alpha skeletal muscle",Gallus gallus,377,,8c4c_L,Cell invasion protein SipA,Salmonella enterica subsp. enterica serovar Typhimurium str. LT2,173,,hetero,765.63,71,1,8c4c
25 Details,8c4c_G,"Actin, alpha skeletal muscle",Gallus gallus,377,,8c4c_H,"Actin, alpha skeletal muscle",Gallus gallus,377,,homo,405.15,36,1,8c4c
26 Details,8c4c_G,"Actin, alpha skeletal muscle",Gallus gallus,377,,8c4c_K,Cell invasion protein SipA,Salmonella enterica subsp. enterica serovar Typhimurium str. LT2,173,,hetero,144.9,17,1,8c4c
27 Details,8c4c_G,"Actin, alpha skeletal muscle",Gallus gallus,377,,8c4c_L,Cell invasion protein SipA,Salmonella enterica subsp. enterica serovar Typhimurium str. LT2,173,,hetero,779.08,65,1,8c4c
28 Details,8c4c_H,"Actin, alpha skeletal muscle",Gallus gallus,377,,8c4c_L,Cell invasion protein SipA,Salmonella enterica subsp. enterica serovar Typhimurium str. LT2,173,,hetero,159.56,17,1,8c4c
1 Details,8iah_0,Adducin 1,Sus scrofa,744,,8iah_4,Beta-adducin,Sus scrofa,724,,hetero,198.89,16,1,8iah
2 Details,8iah_0,Adducin 1,Sus scrofa,744,,8iah_L,"Actin, cytoplasmic 1",Sus scrofa,375,,hetero,1424.2,106,1,8iah
3 Details,8iah_0,Adducin 1,Sus scrofa,744,,8iah_W,Tropomyosin 3,Sus scrofa,248,,hetero,159.33,11,1,8iah
4 Details,8iah_0,Adducin 1,Sus scrofa,744,,8iah_X,Tropomyosin 3,Sus scrofa,248,,hetero,300.81,18,1,8iah
5 Details,8iah_1,Adducin 1,Sus scrofa,744,,8iah_2,Adducin 1,Sus scrofa,744,,homo,405.51,33,1,8iah
6 Details,8iah_1,Adducin 1,Sus scrofa,744,,8iah_3,Beta-adducin,Sus scrofa,724,,hetero,2058.57,170,1,8iah
7 Details,8iah_1,Adducin 1,Sus scrofa,744,,8iah_4,Beta-adducin,Sus scrofa,724,,hetero,1553.93,138,1,8iah
8 Details,8iah_1,Adducin 1,Sus scrofa,744,,8iah_9,Beta-adducin,Sus scrofa,724,,hetero,141.67,12,1,8iah
9 Details,8iah_1,Adducin 1,Sus scrofa,744,,8iah_I,"Actin, cytoplasmic 1",Sus scrofa,375,,hetero,879.29,70,1,8iah
10 Details,8iah_1,Adducin 1,Sus scrofa,744,,8iah_K,"Actin, cytoplasmic 1",Sus scrofa,375,,hetero,710.96,65,1,8iah
11 Details,8iah_1,Adducin 1,Sus scrofa,744,,8iah_L,"Actin, cytoplasmic 1",Sus scrofa,375,,hetero,104.3,8,1,8iah
12 Details,8iah_1,Adducin 1,Sus scrofa,744,,8iah_S,Spectrin beta chain,Sus scrofa,2148,,hetero,473.86,33,1,8iah
13 Details,8iah_1,Adducin 1,Sus scrofa,744,,8iah_U,Tropomyosin-1.9,Sus scrofa,248,,hetero,152.61,10,1,8iah
14 Details,8iah_2,Adducin 1,Sus scrofa,744,,8iah_3,Beta-adducin,Sus scrofa,724,,hetero,1729.51,145,1,8iah
15 Details,8iah_2,Adducin 1,Sus scrofa,744,,8iah_4,Beta-adducin,Sus scrofa,724,,hetero,1804.21,156,1,8iah
16 Details,8iah_2,Adducin 1,Sus scrofa,744,,8iah_L,"Actin, cytoplasmic 1",Sus scrofa,375,,hetero,241.18,24,1,8iah
17 Details,8iah_3,Beta-adducin,Sus scrofa,724,,8iah_9,Beta-adducin,Sus scrofa,724,,homo,165.3,11,1,8iah
18 Details,8iah_3,Beta-adducin,Sus scrofa,724,,8iah_J,"Actin, cytoplasmic 1",Sus scrofa,375,,hetero,1543.58,128,1,8iah
19 Details,8iah_3,Beta-adducin,Sus scrofa,724,,8iah_K,"Actin, cytoplasmic 1",Sus scrofa,375,,hetero,997.42,94,1,8iah
20 Details,8iah_3,Beta-adducin,Sus scrofa,724,,8iah_L,"Actin, cytoplasmic 1",Sus scrofa,375,,hetero,506.07,43,1,8iah
21 Details,8iah_3,Beta-adducin,Sus scrofa,724,,8iah_T,Spectrin beta chain,Sus scrofa,2148,,hetero,579.6,41,1,8iah
22 Details,8iah_3,Beta-adducin,Sus scrofa,724,,8iah_U,Tropomyosin-1.9,Sus scrofa,248,,hetero,145.26,10,1,8iah
23 Details,8iah_3,Beta-adducin,Sus scrofa,724,,8iah_V,Tropomyosin 3,Sus scrofa,248,,hetero,260.15,18,1,8iah
24 Details,8iah_4,Beta-adducin,Sus scrofa,724,,8iah_L,"Actin, cytoplasmic 1",Sus scrofa,375,,hetero,759.03,71,1,8iah
25 Details,8iah_4,Beta-adducin,Sus scrofa,724,,8iah_S,Spectrin beta chain,Sus scrofa,2148,,hetero,811.63,64,1,8iah
26 Details,8iah_4,Beta-adducin,Sus scrofa,724,,8iah_W,Tropomyosin 3,Sus scrofa,248,,hetero,462.78,34,1,8iah
27 Details,8iah_5,Dematin actin binding protein,Sus scrofa,405,,8iah_C,"Actin, cytoplasmic 1",Sus scrofa,375,,hetero,1274.99,99,1,8iah
28 Details,8iah_5,Dematin actin binding protein,Sus scrofa,405,,8iah_D,"Actin, cytoplasmic 1",Sus scrofa,375,,hetero,1341.0,124,1,8iah
29 Details,8iah_5,Dematin actin binding protein,Sus scrofa,405,,8iah_E,"Actin, cytoplasmic 1",Sus scrofa,375,,hetero,323.62,30,1,8iah
30 Details,8iah_5,Dematin actin binding protein,Sus scrofa,405,,8iah_M,Spectrin beta chain,Sus scrofa,2148,,hetero,565.56,43,1,8iah
31 Details,8iah_5,Dematin actin binding protein,Sus scrofa,405,,8iah_N,Spectrin beta chain,Sus scrofa,2148,,hetero,445.49,35,1,8iah
32 Details,8iah_5,Dematin actin binding protein,Sus scrofa,405,,8iah_O,Spectrin beta chain,Sus scrofa,2148,,hetero,905.27,69,1,8iah
33 Details,8iah_5,Dematin actin binding protein,Sus scrofa,405,,8iah_P,Spectrin beta chain,Sus scrofa,2148,,hetero,232.98,17,1,8iah
34 Details,8iah_5,Dematin actin binding protein,Sus scrofa,405,,8iah_U,Tropomyosin-1.9,Sus scrofa,248,,hetero,222.12,15,1,8iah
35 Details,8iah_5,Dematin actin binding protein,Sus scrofa,405,,8iah_V,Tropomyosin 3,Sus scrofa,248,,hetero,301.51,19,1,8iah
36 Details,8iah_5,Dematin actin binding protein,Sus scrofa,405,,8iah_W,Tropomyosin 3,Sus scrofa,248,,hetero,179.04,16,1,8iah
37 Details,8iah_5,Dematin actin binding protein,Sus scrofa,405,,8iah_X,Tropomyosin 3,Sus scrofa,248,,hetero,253.67,16,1,8iah
38 Details,8iah_6,Dematin actin binding protein,Sus scrofa,405,,8iah_E,"Actin, cytoplasmic 1",Sus scrofa,375,,hetero,1272.12,102,1,8iah
39 Details,8iah_6,Dematin actin binding protein,Sus scrofa,405,,8iah_F,"Actin, cytoplasmic 1",Sus scrofa,375,,hetero,1375.15,124,1,8iah
40 Details,8iah_6,Dematin actin binding protein,Sus scrofa,405,,8iah_G,"Actin, cytoplasmic 1",Sus scrofa,375,,hetero,326.07,25,1,8iah
41 Details,8iah_6,Dematin actin binding protein,Sus scrofa,405,,8iah_O,Spectrin beta chain,Sus scrofa,2148,,hetero,654.99,45,1,8iah
42 Details,8iah_6,Dematin actin binding protein,Sus scrofa,405,,8iah_P,Spectrin beta chain,Sus scrofa,2148,,hetero,476.23,37,1,8iah
43 Details,8iah_6,Dematin actin binding protein,Sus scrofa,405,,8iah_Q,Spectrin beta chain,Sus scrofa,2148,,hetero,769.26,56,1,8iah
44 Details,8iah_6,Dematin actin binding protein,Sus scrofa,405,,8iah_R,Spectrin beta chain,Sus scrofa,2148,,hetero,202.6,15,1,8iah
45 Details,8iah_6,Dematin actin binding protein,Sus scrofa,405,,8iah_U,Tropomyosin-1.9,Sus scrofa,248,,hetero,153.07,10,1,8iah
46 Details,8iah_6,Dematin actin binding protein,Sus scrofa,405,,8iah_W,Tropomyosin 3,Sus scrofa,248,,hetero,162.37,15,1,8iah
47 Details,8iah_6,Dematin actin binding protein,Sus scrofa,405,,8iah_X,Tropomyosin 3,Sus scrofa,248,,hetero,112.92,9,1,8iah
48 Details,8iah_7,Dematin actin binding protein,Sus scrofa,405,,8iah_G,"Actin, cytoplasmic 1",Sus scrofa,375,,hetero,1360.41,102,1,8iah
49 Details,8iah_7,Dematin actin binding protein,Sus scrofa,405,,8iah_H,"Actin, cytoplasmic 1",Sus scrofa,375,,hetero,1247.87,113,1,8iah
50 Details,8iah_7,Dematin actin binding protein,Sus scrofa,405,,8iah_I,"Actin, cytoplasmic 1",Sus scrofa,375,,hetero,319.34,27,1,8iah
51 Details,8iah_7,Dematin actin binding protein,Sus scrofa,405,,8iah_Q,Spectrin beta chain,Sus scrofa,2148,,hetero,565.33,39,1,8iah
52 Details,8iah_7,Dematin actin binding protein,Sus scrofa,405,,8iah_R,Spectrin beta chain,Sus scrofa,2148,,hetero,466.19,38,1,8iah
53 Details,8iah_7,Dematin actin binding protein,Sus scrofa,405,,8iah_S,Spectrin beta chain,Sus scrofa,2148,,hetero,797.6,60,1,8iah
54 Details,8iah_7,Dematin actin binding protein,Sus scrofa,405,,8iah_T,Spectrin beta chain,Sus scrofa,2148,,hetero,241.79,17,1,8iah
55 Details,8iah_7,Dematin actin binding protein,Sus scrofa,405,,8iah_U,Tropomyosin-1.9,Sus scrofa,248,,hetero,117.85,8,1,8iah
56 Details,8iah_7,Dematin actin binding protein,Sus scrofa,405,,8iah_V,Tropomyosin 3,Sus scrofa,248,,hetero,216.55,13,1,8iah
57 Details,8iah_7,Dematin actin binding protein,Sus scrofa,405,,8iah_W,Tropomyosin 3,Sus scrofa,248,,hetero,196.58,16,1,8iah
58 Details,8iah_8,"Spectrin alpha, erythrocytic 1",Sus scrofa,2417,,8iah_S,Spectrin beta chain,Sus scrofa,2148,,hetero,2528.34,208,1,8iah
59 Details,8iah_9,Beta-adducin,Sus scrofa,724,,8iah_K,"Actin, cytoplasmic 1",Sus scrofa,375,,hetero,1403.04,106,1,8iah
60 Details,8iah_9,Beta-adducin,Sus scrofa,724,,8iah_U,Tropomyosin-1.9,Sus scrofa,248,,hetero,101.94,6,1,8iah
61 Details,8iah_A,"Actin, cytoplasmic 1",Sus scrofa,375,,8iah_B,"Actin, cytoplasmic 1",Sus scrofa,375,,homo,454.11,34,1,8iah
62 Details,8iah_A,"Actin, cytoplasmic 1",Sus scrofa,375,,8iah_C,"Actin, cytoplasmic 1",Sus scrofa,375,,homo,1081.27,89,1,8iah
63 Details,8iah_A,"Actin, cytoplasmic 1",Sus scrofa,375,,8iah_M,Spectrin beta chain,Sus scrofa,2148,,hetero,360.83,30,1,8iah
64 Details,8iah_A,"Actin, cytoplasmic 1",Sus scrofa,375,,8iah_U,Tropomyosin-1.9,Sus scrofa,248,,hetero,386.3,32,1,8iah
65 Details,8iah_A,"Actin, cytoplasmic 1",Sus scrofa,375,,8iah_Y,Tropomodulin-1,Sus scrofa,359,,hetero,2471.11,212,1,8iah
66 Details,8iah_A,"Actin, cytoplasmic 1",Sus scrofa,375,,8iah_Z,SH3 domain-binding glutamic acid-rich-like protein,Sus scrofa,107,,hetero,660.38,52,1,8iah
67 Details,8iah_B,"Actin, cytoplasmic 1",Sus scrofa,375,,8iah_C,"Actin, cytoplasmic 1",Sus scrofa,375,,homo,413.25,33,1,8iah
68 Details,8iah_B,"Actin, cytoplasmic 1",Sus scrofa,375,,8iah_D,"Actin, cytoplasmic 1",Sus scrofa,375,,homo,1115.78,92,1,8iah
69 Details,8iah_B,"Actin, cytoplasmic 1",Sus scrofa,375,,8iah_N,Spectrin beta chain,Sus scrofa,2148,,hetero,378.65,32,1,8iah
70 Details,8iah_B,"Actin, cytoplasmic 1",Sus scrofa,375,,8iah_Y,Tropomodulin-1,Sus scrofa,359,,hetero,2291.24,209,1,8iah
71 Details,8iah_B,"Actin, cytoplasmic 1",Sus scrofa,375,,8iah_Z,SH3 domain-binding glutamic acid-rich-like protein,Sus scrofa,107,,hetero,632.64,74,1,8iah
72 Details,8iah_C,"Actin, cytoplasmic 1",Sus scrofa,375,,8iah_D,"Actin, cytoplasmic 1",Sus scrofa,375,,homo,386.96,33,1,8iah
73 Details,8iah_C,"Actin, cytoplasmic 1",Sus scrofa,375,,8iah_E,"Actin, cytoplasmic 1",Sus scrofa,375,,homo,1139.66,92,1,8iah
74 Details,8iah_C,"Actin, cytoplasmic 1",Sus scrofa,375,,8iah_M,Spectrin beta chain,Sus scrofa,2148,,hetero,1580.22,138,1,8iah
75 Details,8iah_C,"Actin, cytoplasmic 1",Sus scrofa,375,,8iah_O,Spectrin beta chain,Sus scrofa,2148,,hetero,338.12,26,1,8iah
76 Details,8iah_C,"Actin, cytoplasmic 1",Sus scrofa,375,,8iah_Y,Tropomodulin-1,Sus scrofa,359,,hetero,229.21,22,1,8iah
77 Details,8iah_D,"Actin, cytoplasmic 1",Sus scrofa,375,,8iah_E,"Actin, cytoplasmic 1",Sus scrofa,375,,homo,375.65,31,1,8iah
78 Details,8iah_D,"Actin, cytoplasmic 1",Sus scrofa,375,,8iah_F,"Actin, cytoplasmic 1",Sus scrofa,375,,homo,1168.47,92,1,8iah
79 Details,8iah_D,"Actin, cytoplasmic 1",Sus scrofa,375,,8iah_N,Spectrin beta chain,Sus scrofa,2148,,hetero,1270.07,98,1,8iah
80 Details,8iah_D,"Actin, cytoplasmic 1",Sus scrofa,375,,8iah_P,Spectrin beta chain,Sus scrofa,2148,,hetero,340.18,28,1,8iah
81 Details,8iah_E,"Actin, cytoplasmic 1",Sus scrofa,375,,8iah_F,"Actin, cytoplasmic 1",Sus scrofa,375,,homo,391.85,33,1,8iah
82 Details,8iah_E,"Actin, cytoplasmic 1",Sus scrofa,375,,8iah_G,"Actin, cytoplasmic 1",Sus scrofa,375,,homo,1122.55,90,1,8iah
83 Details,8iah_E,"Actin, cytoplasmic 1",Sus scrofa,375,,8iah_O,Spectrin beta chain,Sus scrofa,2148,,hetero,1572.11,130,1,8iah
84 Details,8iah_E,"Actin, cytoplasmic 1",Sus scrofa,375,,8iah_Q,Spectrin beta chain,Sus scrofa,2148,,hetero,336.62,26,1,8iah
85 Details,8iah_F,"Actin, cytoplasmic 1",Sus scrofa,375,,8iah_G,"Actin, cytoplasmic 1",Sus scrofa,375,,homo,404.17,35,1,8iah
86 Details,8iah_F,"Actin, cytoplasmic 1",Sus scrofa,375,,8iah_H,"Actin, cytoplasmic 1",Sus scrofa,375,,homo,1101.4,92,1,8iah
87 Details,8iah_F,"Actin, cytoplasmic 1",Sus scrofa,375,,8iah_P,Spectrin beta chain,Sus scrofa,2148,,hetero,1186.74,99,1,8iah
88 Details,8iah_F,"Actin, cytoplasmic 1",Sus scrofa,375,,8iah_R,Spectrin beta chain,Sus scrofa,2148,,hetero,335.11,26,1,8iah
89 Details,8iah_G,"Actin, cytoplasmic 1",Sus scrofa,375,,8iah_H,"Actin, cytoplasmic 1",Sus scrofa,375,,homo,371.75,31,1,8iah
90 Details,8iah_G,"Actin, cytoplasmic 1",Sus scrofa,375,,8iah_I,"Actin, cytoplasmic 1",Sus scrofa,375,,homo,1148.2,92,1,8iah
91 Details,8iah_G,"Actin, cytoplasmic 1",Sus scrofa,375,,8iah_Q,Spectrin beta chain,Sus scrofa,2148,,hetero,1545.23,130,1,8iah
92 Details,8iah_G,"Actin, cytoplasmic 1",Sus scrofa,375,,8iah_S,Spectrin beta chain,Sus scrofa,2148,,hetero,358.3,27,1,8iah
93 Details,8iah_H,"Actin, cytoplasmic 1",Sus scrofa,375,,8iah_I,"Actin, cytoplasmic 1",Sus scrofa,375,,homo,384.15,33,1,8iah
94 Details,8iah_H,"Actin, cytoplasmic 1",Sus scrofa,375,,8iah_J,"Actin, cytoplasmic 1",Sus scrofa,375,,homo,1104.61,88,1,8iah
95 Details,8iah_H,"Actin, cytoplasmic 1",Sus scrofa,375,,8iah_R,Spectrin beta chain,Sus scrofa,2148,,hetero,1219.03,94,1,8iah
96 Details,8iah_H,"Actin, cytoplasmic 1",Sus scrofa,375,,8iah_T,Spectrin beta chain,Sus scrofa,2148,,hetero,327.35,24,1,8iah
97 Details,8iah_I,"Actin, cytoplasmic 1",Sus scrofa,375,,8iah_J,"Actin, cytoplasmic 1",Sus scrofa,375,,homo,399.04,31,1,8iah
98 Details,8iah_I,"Actin, cytoplasmic 1",Sus scrofa,375,,8iah_K,"Actin, cytoplasmic 1",Sus scrofa,375,,homo,1148.08,98,1,8iah
99 Details,8iah_I,"Actin, cytoplasmic 1",Sus scrofa,375,,8iah_S,Spectrin beta chain,Sus scrofa,2148,,hetero,1614.33,131,1,8iah
100 Details,8iah_J,"Actin, cytoplasmic 1",Sus scrofa,375,,8iah_K,"Actin, cytoplasmic 1",Sus scrofa,375,,homo,372.48,32,1,8iah
101 Details,8iah_J,"Actin, cytoplasmic 1",Sus scrofa,375,,8iah_L,"Actin, cytoplasmic 1",Sus scrofa,375,,homo,1170.4,103,1,8iah
102 Details,8iah_J,"Actin, cytoplasmic 1",Sus scrofa,375,,8iah_T,Spectrin beta chain,Sus scrofa,2148,,hetero,1580.89,125,1,8iah
103 Details,8iah_K,"Actin, cytoplasmic 1",Sus scrofa,375,,8iah_L,"Actin, cytoplasmic 1",Sus scrofa,375,,homo,408.61,33,1,8iah
104 Details,8iah_M,Spectrin beta chain,Sus scrofa,2148,,8iah_V,Tropomyosin 3,Sus scrofa,248,,hetero,318.15,29,1,8iah
105 Details,8iah_N,Spectrin beta chain,Sus scrofa,2148,,8iah_W,Tropomyosin 3,Sus scrofa,248,,hetero,180.79,10,1,8iah
106 Details,8iah_O,Spectrin beta chain,Sus scrofa,2148,,8iah_U,Tropomyosin-1.9,Sus scrofa,248,,hetero,239.69,17,1,8iah
107 Details,8iah_Q,Spectrin beta chain,Sus scrofa,2148,,8iah_V,Tropomyosin 3,Sus scrofa,248,,hetero,116.21,9,1,8iah
108 Details,8iah_S,Spectrin beta chain,Sus scrofa,2148,,8iah_U,Tropomyosin-1.9,Sus scrofa,248,,hetero,201.71,14,1,8iah
